Number,Name,Address,Latitude,Longitude
8,08 - ROND POINT HOTEL DE VILLE,Avenue de la France Libre,48.7773524472175,2.45537843175518
6,06 - AVENUE DE LA BRECHE,AVENUE DE LA BRECHE,48.78350102672993,2.454576358402657
1,01 - LATTRE DE TASSIGNY,AVENUE DU MARECHAL DE LATTRE DE TASSIGNY,48.7988350967829,2.45387633773323
5,05 - GENERAL LECLERC / BARRAGE,144 RUE DU GENERAL LECLERC,48.7868389124326,2.46856657248876
3,03 - RUE DU GENERAL LECLERC - CENTRE ANCIEN,En face du 1 ter rue de joly,48.7907886168279,2.46489018474127
7,07- AVENUE DU DOCTEUR PAUL CASALIS,Avenue du docteur Paul Casalis,48.78021352952279,2.469692230994849
9,09 - EUROPARC,ALLEE FERNAND POUILLON,48.76603756422197,2.471314855226071
4,04 - UNIVERSITE - MAIL DES MECHES,Avenue du Général de Gaulle,48.788110780811415,2.446248652158302
10,10 - MAGELLAN,RUE MAGELLAN,48.76895633113984,2.456664667660431
2,02 - HOPITAL INTERCOMMUNAL (CHIC),AVENUE DE VERDUN,48.796173633089616,2.46370624551545
